source_number,question_ru,type_ru,status,note_ru
28,Какая из этих стран граничит с Ираном?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
29,Какая из этих стран граничит с Турцией?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
30,Какая из этих стран граничит с Саудовской Аравией?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
31,Какая из этих стран граничит с Оманом?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
32,Какая из этих стран граничит с ОАЭ?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
33,Какая из этих стран граничит с Кувейтом?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
34,Какая из этих стран граничит с Ираком?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
35,Какая из этих стран граничит с Сирией?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
36,Какая из этих стран граничит с Ливаном?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
37,Какая из этих стран граничит с Египтом?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
38,Какая из этих стран граничит с Тунисом?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
39,Какая из этих стран граничит с Ливией?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
40,Какая из этих стран граничит с Суданом?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
41,Какая из этих стран граничит с Южным Суданом?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
42,Какая из этих стран граничит с Кенией?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
43,Какая из этих стран граничит с Танзанией?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
44,Какая из этих стран граничит с Угандой?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
45,Какая из этих стран граничит с Руандой?,Список соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
46,Какая из этих стран НЕ граничит с Бразилией?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
47,Какая из этих стран НЕ граничит с Бразилией?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
48,Какая из этих стран НЕ граничит с Аргентиной?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
49,Какая из этих стран НЕ граничит с Чили?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
50,Какая из этих стран НЕ граничит с Боливией?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
51,Какая из этих стран НЕ граничит с Перу?,Кто НЕ граничит,published,Перуанская национальная статистика; пять сухопутных соседей; карта проверена
52,Какая из этих стран НЕ граничит с Колумбией?,Кто НЕ граничит,published,МИД Колумбии; пять сухопутных соседей; карта проверена
53,Какая из этих стран НЕ граничит с Венесуэлой?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
54,Какая из этих стран НЕ граничит с Гайаной?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
55,Какая из этих стран НЕ граничит с Уругваем?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
56,Какая из этих стран НЕ граничит с Мексикой?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
57,Какая из этих стран НЕ граничит с Гватемалой?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
58,Какая из этих стран НЕ граничит с Гондурасом?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
59,Какая из этих стран НЕ граничит с Никарагуа?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
60,Какая из этих стран НЕ граничит с Коста-Рикой?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
61,Какая из этих стран НЕ граничит с Панамой?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
62,Какая из этих стран НЕ граничит с Германией?,Кто НЕ граничит,published,Опирается на опубликованный список девяти соседей Германии; варианты проверены
63,Какая из этих стран НЕ граничит с Австрией?,Кто НЕ граничит,published,Проверен и включён в пробный набор
64,Какая из этих стран НЕ граничит со Швейцарией?,Кто НЕ граничит,published,Проверен и включён в пробный набор
65,Какая из этих стран НЕ граничит с Польшей?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
66,Какая из этих стран НЕ граничит с Норвегией?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
67,Какая из этих стран НЕ граничит с Финляндией?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
68,Какая из этих стран НЕ граничит с Беларусью?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
69,Какая из этих стран НЕ граничит с Казахстаном?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
70,Какая из этих стран НЕ граничит с Мьянмой?,Кто НЕ граничит,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
71,Сколько государств имеют сухопутную границу с Германией?,Число соседей,published,Проверен и включён в пробный набор
72,Сколько государств имеют сухопутную границу с Австрией?,Число соседей,published,Проверен и включён в пробный набор
73,Сколько государств имеют сухопутную границу со Швейцарией?,Число соседей,published,Проверен и включён в пробный набор
74,Сколько государств имеют сухопутную границу с Польшей?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
75,Сколько государств имеют сухопутную границу с Чехией?,Число соседей,published,Проверен и включён в пробный набор
76,Сколько государств имеют сухопутную границу со Словакией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
77,Сколько государств имеют сухопутную границу с Венгрией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
78,Сколько государств имеют сухопутную границу с Румынией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
79,Сколько государств имеют сухопутную границу с Норвегией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
80,Сколько государств имеют сухопутную границу с Финляндией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
81,Сколько государств имеют сухопутную границу с Беларусью?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
82,Сколько международно признанных государств имеют сухопутную границу с Украиной?,Число соседей,excluded_disputed_region,Тема затрагивает спорные границы; не публиковать
83,Сколько государств имеют сухопутную границу с Афганистаном?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
84,Сколько государств имеют сухопутную границу с Ираном?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
85,Сколько государств имеют сухопутную границу с Турцией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
86,Сколько государств имеют сухопутную границу с Ираком?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
87,Сколько государств имеют сухопутную границу с Саудовской Аравией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
88,Сколько государств имеют сухопутную границу с Танзанией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
89,Сколько государств имеют сухопутную границу с Демократической Республикой Конго?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
90,Сколько государств имеют сухопутную границу с Замбией?,Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
91,"Сколько государств имеют сухопутную границу с Бразилией, если Францию считать через Французскую Гвиану?",Число соседей,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
92,Сколько суверенных государств имеют сухопутную границу с Китаем?,Число соседей,excluded_disputed_region,Тема затрагивает спорные границы; не публиковать
93,Сколько суверенных государств имеют сухопутную границу с Россией по общепринятому международному подсчёту?,Число соседей,excluded_disputed_region,Тема затрагивает спорные границы; не публиковать
94,Какие две страны делят мировой рекорд по числу сухопутных соседей — по 14 каждая?,Рекорд,excluded_disputed_region,Тема затрагивает спорные границы; не публиковать
95,С какой европейской страной Бразилия имеет сухопутную границу?,Необычная граница,deferred_review,"Проверка источников, вариантов и статуса сухопутных границ ещё не выполнена"
