country_id,symbol_id,content_entry_id,symbol_type,official_name_ru,elements,decision,decision_reason,source_ids,primary_source_urls,review_status,checked_at,notes
azerbaijan,azerbaijan-state-emblem,azerbaijan-state-emblem,state_emblem,Государственный герб Азербайджанской Республики,flame|star|plant,eligible,"Официальная страница Президента подтверждает государственный статус и композицию со звездой, пламенем, дубовыми ветвями и колосьями.",az-state-symbols,https://president.az/ru/pages/view/azerbaijan/symbols,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
argentina,argentina-national-coat-of-arms,argentina-national-coat-of-arms,coat_of_arms,Национальный герб Аргентины,hands|staff|cap|sun|plant,eligible,Официальный образец национального герба закреплён декретом и содержит достаточно различимую композицию для учебной карточки.,ar-symbols-decree,https://www.argentina.gob.ar/normativa/nacional/59311/actualizacion,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
australia,australia-commonwealth-coat-of-arms,,coat_of_arms,Герб Австралийского Союза,kangaroo|emu|shield|star|plant,eligible,"Официальный герб содержит щит шести штатов, кенгуру, эму, Звезду Содружества и золотую акацию.",au-coat-of-arms,https://www.pmc.gov.au/honours-and-symbols/commonwealth-coat-arms,sources_checked,2026-09-22,
austria,austria-federal-coat-of-arms,austria-federal-coat-of-arms,coat_of_arms,Федеральный герб Австрии,bird|crown|chain|sickle|hammer|shield,eligible,"Статья 8a Конституции подробно определяет орла, корону, разорванную цепь, серп, молот и щит.",at-constitution-art-8a,https://ris.bka.gv.at/eli/bgbl/1930/1/A8a/NOR40045733,reviewed,2026-09-22,Опубликовано в первом пользовательском пакете 2026-09-22.
bahamas,bahamas-coat-of-arms,,coat_of_arms,Герб Содружества Багамских Островов,ship|sun|shell|palm|flamingo|marlin|inscription,eligible,"Закон закрепляет многосоставной официальный герб с кораблём, раковиной, пальмой, фламинго, марлином и девизом.",bs-symbols-law,https://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/1973/1973-0020/1973-0020_1.pdf,sources_checked,2026-09-22,
bahrain,bahrain-national-emblem,,national_emblem,Эмблема Королевства Бахрейн,flag|shield|crown|ornament,eligible,"Поправка 2022 года описывает флаг внутри трёхстороннего щита, арабский орнамент и королевскую корону.",bh-constitution|bh-emblem-amendment-2022,https://www.legalaffairs.gov.bh/en/page/The%20Constitution%20of%20the%20Kingdom%20of%20Bahrain|https://www.legalaffairs.gov.bh/OG/3638.pdf,sources_checked,2026-09-22,
bangladesh,bangladesh-national-emblem,,national_emblem,Национальная эмблема Бангладеш,water_lily|water|rice|jute|star,eligible,"Статья 4 Конституции закрепляет водяную лилию шапла на воде, колосья риса, три листа джута и по две звезды с каждой стороны.",bd-constitution-art-4,https://bdlaws.minlaw.gov.bd/act-print-367/section-print-24551.html,sources_checked,2026-09-23,
armenia,armenia-state-coat-of-arms,,coat_of_arms,Государственный герб Армении,mountain|ark|shield|eagle|lion|sword|plant|wheat|chain|ribbon,eligible,"Официальное описание содержит гору Арарат с Ноевым ковчегом, гербы четырёх исторических династий, орла, льва и предметы под щитом.",am-president-state-symbols,https://www.president.am/en/state-symbols/,sources_checked,2026-09-23,
barbados,barbados-coat-of-arms,,coat_of_arms,Герб Барбадоса,fig_tree|flower|sugar_cane|dolphin|pelican|shield|inscription,eligible,"Официальные правила и правительственная страница описывают щит с фиговым деревом и цветами, дельфина, пеликана и руку с сахарным тростником.",bb-national-emblems-regulations|bb-government-coat-of-arms,https://www.barbadoslawcourts.gov.bb/assets/content/pdfs/subsidiary_legislation_of_barbados/NationalEmblemsandNationalAnthemofBarbadosRegulations%2C1976Cap300A%27A.pdf|https://www.gov.bb/Visit-Barbados/coat-of-arms,sources_checked,2026-09-23,
belgium,belgium-federal-heraldic-emblem,,coat_of_arms,Геральдическая эмблема Бельгии,lion|shield,eligible,Федеральный портал показывает и описывает бельгийского льва: золотой лев с красными когтями и языком на чёрном поле.,be-government-arms,https://www.belgium.be/en/about_belgium/country/belgium_in_nutshell/symbols/coats_of_arms,sources_checked,2026-09-23,"Перед публикацией уточнить, какая официальная версия полного/малого герба соответствует конкретному изображению."
bhutan,bhutan-national-emblem,,national_emblem,Национальная эмблема Бутана,vajra|lotus|dragon|jewel,eligible,"Первое приложение Конституции описывает две скрещённые ваджры над лотосом, двух белых драконов и драгоценный камень.",bt-constitution-first-schedule,https://www.rcsc.gov.bt/wp-content/uploads/2021/02/Constitution-of-Bhutan-Eng-2008.pdf,sources_checked,2026-09-23,
bolivia,bolivia-coat-of-arms,,coat_of_arms,Герб Многонационального Государства Боливия,condor|mountain|animal|plant|flag|star,eligible,"Конституция закрепляет герб как символ государства, а декрет 241 регулирует его элементы и использование.",bo-constitution-art-6|bo-decree-241-official-register|bo-decree-241-parliament-copy,https://www.senapi.gob.bo/normativas/constitucion-politica-del-estado/constitucion-politica-del-estado-plurinacional-de-bolivia|https://www.gacetaoficialdebolivia.gob.bo/edicions/view/125ESP|https://diputados.gob.bo/wp-content/uploads/2023/02/PL-137-2022-2023.pdf,sources_checked,2026-09-23,Перед публикацией карточки сверить современную графическую редакцию герба с полным текстом декрета и конкретным файлом изображения.
bosnia-and-herzegovina,bosnia-and-herzegovina-coat-of-arms,bosnia-and-herzegovina-coat-of-arms,coat_of_arms,Герб Боснии и Герцеговины,shield|triangle|stars,eligible,Нормативный текст определяет официальный синий щит с жёлтым треугольником и рядом белых пятиконечных звёзд.,ba-coat-law-ohr,https://www.ohr.int/decision-on-the-shape-and-design-of-the-coat-of-arms-of-bih/,reviewed,2026-09-23,
botswana,botswana-coat-of-arms,botswana-coat-of-arms,coat_of_arms,Государственный герб Ботсваны,shield|zebras|cogwheels|waves|bull|elephant_tusk|sorghum|motto,eligible,"Правительственные источники подтверждают действующий герб и описывают щит, двух зебр, шестерни, волны, голову быка, бивень, сорго и девиз Pula.",bw-national-symbols-bopa|bw-national-emblems-government,https://dailynews.gov.bw/news-detail/31255|https://www.gov.bw/sale-goods-and-services/use-national-emblems,reviewed,2026-09-23,
brazil,brazil-national-seal,brazil-national-seal,state_seal,Национальная печать Бразилии,celestial_sphere|stars|inscription,eligible,Закон № 5.700 прямо перечисляет национальную печать среди символов страны и описывает её круг с небесной сферой и надписью «República Federativa do Brasil».,br-symbols-law-5700,https://www.planalto.gov.br/ccivil_03/leis/l5700compilado.htm,reviewed,2026-09-23,
belize,belize-coat-of-arms,,coat_of_arms,Национальный герб Белиза,shield|ship|timber_tools|two_people|mahogany_tree|motto|wreath,eligible,"Приложение IV к закону 2025 года описывает герб: щит с кораблём и лесозаготовительными инструментами, два щитодержателя, красное дерево, девиз и венок.",bz-national-symbols-act-2025,https://www.agm.gov.bz/uploads/laws/67fe7b9cbe9a7_Act_No._09_of_2025_National_Symbols_Act__2025.pdf,sources_checked,2026-09-23,Публикация карточки ожидает выяснения прав на дизайн по статье 11 закона.
solomon-islands,solomon-islands-coat-of-arms,solomon-islands-coat-of-arms,coat_of_arms,Государственный герб Соломоновых Островов,shield|crocodile|shark|birds|sun|canoe|motto,eligible,"Герб используется в официальных правительственных публикациях; парламентское описание подтверждает щит, крокодила, акулу и другие отличительные элементы.",sb-policy-statement-2024|sb-coat-parliament-hansard,https://solomons.gov.sb/wp-content/uploads/2024/06/Policy-Statement-TUESDAY-6PM-Final.pdf|https://parliament.gov.sb/sites/default/files/hansard/10th_session/2nd%20Meeting/April/Wednesday%208th%20April%202015.pdf,reviewed,2026-09-23,
solomon-islands,solomon-islands-national-seal,,state_seal,Национальная печать Соломоновых Островов,unverified,deferred,"Статья 142 Конституции предусматривает печать с рисунком, утверждаемым парламентом, но утверждённый рисунок и текущая версия не найдены.",sb-constitution-seal,https://attorneygenerals.gov.sb/wp-content/uploads/dlm_uploads/2024/10/Constitution-of-Solomon-Islands-1978-v11_as-at-050224.pdf,sources_checked,2026-09-23,
brunei,brunei-national-emblem,brunei-national-emblem,national_emblem,Национальная эмблема Брунея-Даруссалама,flag|royal_umbrella|wings|hands|crescent|inscription,eligible,"Генеральная прокуратура отдельно описывает национальную эмблему и её пять основных частей, а также надписи на полумесяце и ленте.",bn-flag-crest-agc,https://www.agc.gov.bn/SitePages/National%20Flag%20and%20Crest.aspx,reviewed,2026-09-23,
bulgaria,bulgaria-coat-of-arms,,coat_of_arms,Государственный герб Болгарии,crowned_lion|shield|supporting_lions|crown|motto,eligible,Конституция и закон парламента подтверждают действующий герб и его видимые элементы; публикация ждёт проверки права на конкретное изображение.,bg-constitution-justice|bg-coat-parliament|bg-coat-decree-132-2009,https://www.justice.government.bg/home/normdoc/521957377|https://www.parliament.bg/bg/20|https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=21850,sources_checked,2026-09-23,
bulgaria,bulgaria-state-seal,,state_seal,Государственная печать Болгарии,coat_of_arms|circular_inscription,eligible,Конституция и специальный закон подтверждают отдельную круглую печать с большой формой герба и текстом; публикация ждёт допустимого изображения.,bg-constitution-justice|bg-seal-parliament,https://www.justice.government.bg/home/normdoc/521957377|https://parliament.bg/bg/23,sources_checked,2026-09-23,
myanmar,myanmar-state-seal,,state_seal,Государственная печать Мьянмы,map|eugenia_sprigs|lions|star|inscription,deferred,"Печать официальна, но Закон № 2/2025 изменил её описание после публикации текста национального портала; точный действующий образец и права на конкретное изображение ещё не сверены.",mm-constitution-moi|mm-national-symbols-portal|mm-state-seal-amendment-2025,https://www.moi.gov.mm/sites/default/files/general-pdf/2020-06/Con%20%26%20Repub%20%28Myanm%20%26%20Eng%29%20Big-1.pdf|https://myanmar.gov.mm/en/web/guest/national-symbols|https://www.moi.gov.mm/file-download/download/public/93564,sources_checked,2026-09-23,
burundi,burundi-coat-of-arms,burundi-coat-of-arms,coat_of_arms,Государственный герб Бурунди,shield|lion_head|three_spears|motto,eligible,Конституция и президентская страница подтверждают действующий государственный герб и основные элементы его изображения.,bi-constitution-presidency-2018|bi-coat-presidency,https://www.presidence.gov.bi/wp-content/uploads/2018/07/constitution-promulguee-le-7-juin-2018.pdf|https://presidence.gov.bi/les-armoiries/,reviewed,2026-09-23,
cambodia,cambodia-coat-of-arms,cambodia-coat-of-arms,coat_of_arms,Национальный герб Камбоджи,royal_crown|sword|ceremonial_bowls|supporting_creatures|umbrellas|khmer_ribbon,eligible,Статья 6 Конституции и приложение 3 устанавливают национальный герб; правительственное издание подтверждает его изображение.,kh-constitution-ccc|kh-national-symbols-nsdp,https://constitution.ccc.gov.kh/index-en.php|https://cdc-crdb.gov.kh/en/strategy/documents/nsdp-2019-2023_en.pdf,reviewed,2026-09-23,
belarus,belarus-state-emblem,belarus-state-emblem,national_emblem,Государственный герб Беларуси,country_outline|rising_sun|globe|red_star|grain_wreath|clover|flax|inscription,eligible,Правительственное описание и изображение подтверждают действующий государственный герб; цветовые исполнения представляют один знак.,by-symbols-vitebsk-labor,https://be.vitkomtrud.gov.by/page/gosudarstvennye-simvoly,reviewed,2026-09-23,
cameroon,cameroon-coat-of-arms,cameroon-coat-of-arms,coat_of_arms,Государственный герб Камеруна,shield|star|country_outline|sword|scales|fasces|motto,eligible,"Конституция описывает герб со щитом, звездой, контуром страны, мечом, весами и двумя скрещёнными фасциями.",cm-constitution-presidency,https://www.prc.cm/files/c9/b7/ea/c0609c9d4b1c56a57d25fe5897d534a9.pdf,reviewed,2026-09-23,
cameroon,cameroon-great-seal,,state_seal,Большая государственная печать Камеруна,obverse_figure|coffee_leaves|cocoa_pods|reverse_coat_of_arms|bilingual_inscriptions,deferred,"Конституция описывает отдельную двустороннюю государственную печать, но её действующий официальный образец и права на конкретные изображения ещё не сверены.",cm-constitution-presidency,https://www.prc.cm/files/c9/b7/ea/c0609c9d4b1c56a57d25fe5897d534a9.pdf,sources_checked,2026-09-23,
