catalog_record_id,catalog,official_name,country_ids,source_url,catalog_status,review_status,candidate_decision,decision_reason,checked_at,notes
whc-1686,world_heritage_natural,Anticosti,canada,https://whc.unesco.org/en/list/1686,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-475,world_heritage_natural,Manovo-Gounda St Floris National Park,central-african-republic,https://whc.unesco.org/en/list/475,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1400,world_heritage_natural,Lakes of Ounianga,chad,https://whc.unesco.org/en/list/1400,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-638,world_heritage_natural,Huanglong Scenic and Historic Interest Area,china,https://whc.unesco.org/en/list/638,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-637,world_heritage_natural,Jiuzhaigou Valley Scenic and Historic Interest Area,china,https://whc.unesco.org/en/list/637,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-640,world_heritage_natural,Wulingyuan Scenic and Historic Interest Area,china,https://whc.unesco.org/en/list/640,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1083,world_heritage_natural,Three Parallel Rivers of Yunnan Protected Areas,china,https://whc.unesco.org/en/list/1083,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1213,world_heritage_natural,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains",china,https://whc.unesco.org/en/list/1213,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1248,world_heritage_natural,South China Karst,china,https://whc.unesco.org/en/list/1248,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1292,world_heritage_natural,Mount Sanqingshan National Park,china,https://whc.unesco.org/en/list/1292,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1335,world_heritage_natural,China Danxia,china,https://whc.unesco.org/en/list/1335,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1388,world_heritage_natural,Chengjiang Fossil Site,china,https://whc.unesco.org/en/list/1388,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1414,world_heritage_natural,Xinjiang Tianshan,china,https://whc.unesco.org/en/list/1414,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1509,world_heritage_natural,Hubei Shennongjia,china,https://whc.unesco.org/en/list/1509,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1540,world_heritage_natural,Qinghai Hoh Xil,china,https://whc.unesco.org/en/list/1540,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1559,world_heritage_natural,Fanjingshan,china,https://whc.unesco.org/en/list/1559,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1606,world_heritage_natural,Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China,china,https://whc.unesco.org/en/list/1606,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1638,world_heritage_natural,Badain Jaran Desert - Towers of Sand and Lakes,china,https://whc.unesco.org/en/list/1638,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-711,world_heritage_natural,Los Katíos National Park,colombia,https://whc.unesco.org/en/list/711,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1216,world_heritage_natural,Malpelo Fauna and Flora Sanctuary,colombia,https://whc.unesco.org/en/list/1216,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-692,world_heritage_natural,Forest Massif of Odzala-Kokoua,congo,https://whc.unesco.org/en/list/692,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-205,world_heritage_natural,Talamanca Range-La Amistad Reserves / La Amistad National Park,costa-rica|panama,https://whc.unesco.org/en/list/205,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-820,world_heritage_natural,Cocos Island National Park,costa-rica,https://whc.unesco.org/en/list/820,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-928,world_heritage_natural,Area de Conservación Guanacaste,costa-rica,https://whc.unesco.org/en/list/928,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-155,world_heritage_natural,Mount Nimba Strict Nature Reserve,cote-divoire|guinea,https://whc.unesco.org/en/list/155,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-195,world_heritage_natural,Taï National Park,cote-divoire,https://whc.unesco.org/en/list/195,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-227,world_heritage_natural,Comoé National Park,cote-divoire,https://whc.unesco.org/en/list/227,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-98,world_heritage_natural,Plitvice Lakes National Park,croatia,https://whc.unesco.org/en/list/98,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-889,world_heritage_natural,Desembarco del Granma National Park,cuba,https://whc.unesco.org/en/list/889,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-839,world_heritage_natural,Alejandro de Humboldt National Park,cuba,https://whc.unesco.org/en/list/839,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-63,world_heritage_natural,Virunga National Park,democratic-republic-of-the-congo,https://whc.unesco.org/en/list/63,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-137,world_heritage_natural,Kahuzi-Biega National Park,democratic-republic-of-the-congo,https://whc.unesco.org/en/list/137,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-136,world_heritage_natural,Garamba National Park,democratic-republic-of-the-congo,https://whc.unesco.org/en/list/136,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-280,world_heritage_natural,Salonga National Park,democratic-republic-of-the-congo,https://whc.unesco.org/en/list/280,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-718,world_heritage_natural,Okapi Wildlife Reserve,democratic-republic-of-the-congo,https://whc.unesco.org/en/list/718,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1149,world_heritage_natural,Ilulissat Icefjord,denmark,https://whc.unesco.org/en/list/1149,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1314,world_heritage_natural,Wadden Sea,denmark|germany|netherlands-kingdom-of-the,https://whc.unesco.org/en/list/1314,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1416,world_heritage_natural,Stevns Klint,denmark,https://whc.unesco.org/en/list/1416,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1728,world_heritage_natural,Møns Klint,denmark,https://whc.unesco.org/en/list/1728,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1758,world_heritage_natural,The Bony Fish Fossils of the Western Limfjord – Evolution and Climate Adaptation in the Earliest Eocene,denmark,https://whc.unesco.org/en/list/1758,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-814,world_heritage_natural,Morne Trois Pitons National Park,dominica,https://whc.unesco.org/en/list/814,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1,world_heritage_natural,Galápagos Islands,ecuador,https://whc.unesco.org/en/list/1,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-260,world_heritage_natural,Sangay National Park,ecuador,https://whc.unesco.org/en/list/260,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1186,world_heritage_natural,Wadi Al-Hitan (Whale Valley),egypt,https://whc.unesco.org/en/list/1186,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-9,world_heritage_natural,Simien National Park,ethiopia,https://whc.unesco.org/en/list/9,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-111,world_heritage_natural,Bale Mountains National Park,ethiopia,https://whc.unesco.org/en/list/111,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-898,world_heritage_natural,High Coast / Kvarken Archipelago,finland|sweden,https://whc.unesco.org/en/list/898,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-258,world_heritage_natural,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",france,https://whc.unesco.org/en/list/258,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1115,world_heritage_natural,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,france,https://whc.unesco.org/en/list/1115,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1317,world_heritage_natural,"Pitons, cirques and remparts of Reunion Island",france,https://whc.unesco.org/en/list/1317,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1434,world_heritage_natural,Chaîne des Puys - Limagne fault tectonic arena,france,https://whc.unesco.org/en/list/1434,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1603,world_heritage_natural,French Austral Lands and Seas,france,https://whc.unesco.org/en/list/1603,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1657,world_heritage_natural,Volcanoes and Forests of Mount Pelée and the Pitons of Northern Martinique,france,https://whc.unesco.org/en/list/1657,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1653,world_heritage_natural,Ivindo National Park,gabon,https://whc.unesco.org/en/list/1653,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1616,world_heritage_natural,Colchic Rainforests and Wetlands,georgia,https://whc.unesco.org/en/list/1616,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-720,world_heritage_natural,Messel Pit Fossil Site,germany,https://whc.unesco.org/en/list/720,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1431,world_heritage_natural,Coastal and Marine Ecosystems of the Bijagós Archipelago – Omatí Minhô,guinea-bissau,https://whc.unesco.org/en/list/1431,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-196,world_heritage_natural,Río Plátano Biosphere Reserve,honduras,https://whc.unesco.org/en/list/196,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-725,world_heritage_natural,Caves of Aggtelek Karst and Slovak Karst,hungary|slovakia,https://whc.unesco.org/en/list/725,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-1267,world_heritage_natural,Surtsey,iceland,https://whc.unesco.org/en/list/1267,active,sources_checked,eligible,Запись каталога описывает сам именованный вулканический остров.,2026-09-23,Выделенные объекты: surtsey
whc-1604,world_heritage_natural,Vatnajökull National Park - Dynamic Nature of Fire and Ice,iceland,https://whc.unesco.org/en/list/1604,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-337,world_heritage_natural,Kaziranga National Park,india,https://whc.unesco.org/en/list/337,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
whc-340,world_heritage_natural,Keoladeo National Park,india,https://whc.unesco.org/en/list/340,active,pending_decomposition,deferred,Запись исходного каталога ещё нужно разложить на конкретные физические объекты и проверить визуальную узнаваемость.,2026-09-22,
